"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.	"Wir haben jetzt vier Monate alte Mäuse, die nicht-diabetisch sind, die früher Diabetiker waren", fügte er hinzu.	"We now have 4 months old mice who had diabetes and now have no more," he added.
It takes a giant rocket over a 100 feet high to put a satellite or telescope in space.	Es bedarf einer gigantischen Rakete mit einer Höhe von mehr als 100 Fuß, um einen Satelliten oder ein Teleskop in den Weltraum zu schießen.	Es nimmt eine riesige Rakete über eine 100 Fuß hoch, um einen Satelliten oder Teleskop in den Weltraum zu setzen.	A gigantic rocket with a height of more than 100 feet is needed to shoot a satellite or telescope into space.
The wheel has changed the world in incredible ways. The biggest thing that the wheel has done for us is given us much easier and faster transportation.	Das Rad hat die Welt in unglaublicher Weise verändert. Der größte Dienst, den das Rad uns erwiesen hat, ist sehr viel einfacherer und schnellerer Transport.	Das Rad hat die Welt auf unglaubliche Weise verändert. Das größte, was das Rad für uns getan hat, ist uns viel einfacher und schneller Transport gegeben.	The bike has changed the world in an incredible way. The biggest service the bike has done to us is much easier and faster transport.
It has brought us the train, the car, and many other transportation devices.	Es hat uns die Eisenbahn, das Auto und viele andere Transportmittel gebracht.	Es hat uns den Zug, das Auto und viele andere Transportgeräte gebracht.	It has brought us the railroad, the car and many other means of transport.
Under them are more medium sized cats that eat medium sized prey ranging from rabbits to antelopes and deer.	Unter ihnen stehen Katzen mittlerer Größe, die Beutetiere mittlerer Größe fressen, von Kaninchen bis hin zu Antilopen und Hirschen.	Unter ihnen sind mehr mittelgroße Katzen, die mittelgroße Beute von Kaninchen bis Antilopen und Hirsch essen.	Among them are cats of medium size, which eat prey animals of medium size, from rabbits to antelopes and deer.
Finally, there are many small cats (including loose pet cats) that eat the far more numerous small prey like insects, rodents, lizards, and birds.	Schließlich gibt es noch viele kleine Katzen (einschließlich frei herumstreunende Hauskatzen), die weitaus kleinere Beutetiere wie Insekten, Nagetiere, Eidechsen und Vögel fressen.	Schließlich gibt es viele kleine Katzen (einschließlich loser Haustierkatzen), die die weitaus zahlreicheren kleinen Beute wie Insekten, Nagetiere, Eidechsen und Vögel fressen.	Finally, there are many small cats (including wild domestic cats) that eat much smaller prey animals such as insects, rodents, lizards and birds.
The secret to their success is the concept of the niche, a special job each cat holds that keeps it from competing with others.	Das Geheimnis ihres Erfolgs ist das Konzept der Nische, eine besondere Aufgabe, die jede Katze hat und die dafür sorgt, dass sie nicht mit anderen konkurriert.	Das Geheimnis für ihren Erfolg ist das Konzept der Nische, eine besondere Aufgabe, die jede Katze hält, die es vor dem Wettbewerb mit anderen hält.	The secret of her success is the concept of the niche, a special task that each cat has and that ensures that she does not compete with others.
Lions are the most social cats, living in large groups called prides.	Löwen sind die sozialsten Katzen. Sie leben in großen Gruppen, die Rudel genannt werden.	Löwen sind die geselligsten Katzen, die in großen Gruppen leben, die Stolze genannt werden.	Lions are the most social cats. They live in large groups called pack.
Prides are made up of one to three related adult males, along with as many as thirty females and cubs.	Die Rudel bestehen aus ein bis drei verwandten erwachsenen Männchen sowie bis zu dreißig Weibchen und Jungen.	Stolze bestehen aus ein bis drei verwandten erwachsenen Männchen, zusammen mit bis zu dreißig Weibchen und Jungen.	The pack consists of one to three related adult males as well as up to thirty females and boys.
The females are usually closely related to each other, being a large family of sisters and daughters.	Frauen haben normalerweise eine enge Beziehung zueinander, wenn sie in einer großen Familie mit Schwestern und Töchtern leben.	Die Weibchen sind in der Regel eng miteinander verwandt, da sie eine große Familie von Schwestern und Töchtern sind.	Women usually have a close relationship with each other when living in a large family with sisters and daughters.
Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.	Löwenrudel agieren ähnlich wie Wolfs- oder Hunderudel, Tiere, die den Löwen (aber nicht anderen Großkatzen) im Verhalten überraschend ähneln und ebenso tödlich gegenüber ihrer Beute sind.	Löwenstolzen verhalten sich wie Wölfe oder Hunde, Tiere, die überraschend ähnlich sind wie Löwen (aber nicht andere große Katzen) im Verhalten, und auch sehr tödlich für ihre Beute.	Lion pack act similar to wolf or dog pack, animals that are surprisingly similar to lions (but not other big cats) in behavior and are equally deadly to their prey.
A well rounded athlete, the tiger can climb (though not well), swim, leap great distances and pull with five times the force of a strong human.	Als vielseitiger Athlet kann der Tiger klettern (wenn auch nicht besonders gut), schwimmen, große Strecken springen und mit der fünffachen Kraft eines starken Menschen ziehen.	Ein gut abgerundeter Athlet, der Tiger kann klettern (wenn auch nicht gut), schwimmen, große Distanzen springen und mit fünf Mal die Kraft eines starken Menschen ziehen.	As a versatile athlete, the tiger can climb (though not particularly good), swim, jump large distances and pull with the five times the power of a strong person.
The tiger is in the same group (Genus Panthera) as lions, leopards, and jaguars. These four cats are the only ones who can roar.	Der Tiger befindet sich in derselben Gruppe (Gattung Panthera) wie Löwen, Leoparden und Jaguare. Diese vier Katzen sind die einzigen, die brüllen können.	Der Tiger ist in der gleichen Gruppe (Genus Panthera) wie Löwen, Leoparden und Jaguar. Diese vier Katzen sind die einzigen, die brüllen können.	The tiger is in the same group (Gattung Panthera) as lions, leopards and jaguars. These four cats are the only ones that can roar.
The tiger's roar is not like the full-voiced roar of a lion, but more like a sentence of snarly, shouted words.	Das Gebrüll des Tigers hört sich nicht so an wie das vollmundige Gebrüll des Löwens, sondern eher wie ein Satz aus knurrigen gebrüllten Worten.	Das Brüllen des Tigers ist nicht wie das lautstarke Brüllen eines Löwen, sondern eher wie ein Satz schnarriger, geschriener Worte.	The roar of the tiger does not sound like the full-bodied roar of the lion, but rather like a sentence of growly roared words.
Ocelots like to eat small animals. They will catch monkeys, snakes, rodents and birds if they can. Almost all of the animals that the ocelot hunts are far smaller than it is.	Ozelots fressen kleine Tiere. Wenn sie können, erbeuten sie Affen, Schlangen, Nagetiere und Vögel. Fast alle Tiere, die der Ozelot jagt, sind wesentlich kleiner als er selbst.	Ocelots essen gerne kleine Tiere. Sie fangen Affen, Schlangen, Nagetiere und Vögel, wenn sie können. Fast alle Tiere, die die Ozelotjagden sind weit kleiner als es ist.	Ozelots eat small animals. If they can, they prey on monkeys, snakes, rodents and birds. Almost all animals that the Ozelot hunts are much smaller than himself.
Scientists think that ocelots follow and find animals to eat (prey) by smell, sniffing for where they've been on the ground.	Wissenschaftler denken, dass Ozelote Tiere zum Fressen (Beute) mit ihrem Geruchssinn verfolgen und aufspüren. Sie schnuppern danach, wo sie sich am Boden aufgehalten haben.	Wissenschaftler denken, dass Ozelots Tiere zum Essen (Prey) durch Geruch folgen und nach dem Ort schnüffeln, wo sie auf dem Boden waren.	Scientists think that ozelote animals can be eaten and tracked down with their sense of smell. They sniff at where they have been on the ground.
They can see very well in the dark with night vision, and move very stealthily, too. Ocelots hunt their prey by blending in with their surroundings then pouncing on their prey.	Sie können in der Dunkelheit mit Nachtsicht sehr gut sehen und sich unbemerkt bewegen. Ozelots jagen ihre Beute, indem sie sich ihrer Umgebung optisch angleichen und sich dann auf ihre Beute stürzen.	Sie können im Dunkeln mit Nachtsicht sehr gut sehen und bewegen sich auch sehr heimlich. Ocelots jagen ihre Beute, indem sie sich mit ihrer Umgebung verbinden und dann auf ihre Beute pouncing.	They can see very well in the darkness with night vision and move unnoticed. Ozelots hunt their prey by optically aligning themselves with their surroundings and then falling on their prey.
When a small group of living things (a small population) gets separated from the main population that they came from (like if they move over a mountain range or a river, or if they move to a new island so that they can't easily move back) they will often find themselves in a different environment than they were in before.	Wenn eine kleine Gruppe von Lebewesen (eine kleine Population) von der Hauptpopulation, aus der sie stammt, getrennt wird (z. B. wenn sie über eine Bergkette oder einen Fluss ziehen oder wenn sie auf eine neue Insel umsiedeln, so dass sie nicht leicht zurückkehren können), werden sie sich oft in einer anderen Umgebung wiederfinden als zuvor.	Wenn eine kleine Gruppe von Lebewesen (eine kleine Population) von der Hauptbevölkerung getrennt wird, von der sie kamen (wie wenn sie sich über eine Bergkette oder einen Fluss bewegen, oder wenn sie auf eine neue Insel ziehen, so dass sie sich nicht leicht zurückziehen können), werden sie sich oft in einer anderen Umgebung befinden, als sie es vorher waren.	When a small group of living beings (a small population) is separated from the main population from which they originate (e.g. when they move over a mountain range or river or when they move to a new island so that they cannot return easily), they will often find themselves in a different environment than before.
This new environment has different resources and different competitors, so the new population will need different features or adaptations to be a strong competitor than what they had needed before.	Dieses neue Umfeld hat andere Ressourcen und andere Konkurrenten, so dass die neue Bevölkerung andere Merkmale oder Anpassungen benötigt, um ein starker Konkurrent zu sein, als das, was sie vorher gebraucht hat.	Dieses neue Umfeld verfügt über unterschiedliche Ressourcen und unterschiedliche Wettbewerber, so dass die neue Bevölkerung unterschiedliche Merkmale oder Anpassungen benötigt, um ein starker Wettbewerber zu sein, als das, was sie zuvor benötigt hatten.	This new environment has other resources and other competitors, so the new population needs different characteristics or adjustments to be a strong competitor than what it used to be.
